Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778840511,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778840512,10,,Aggregated,0.000000,0.000000,290,300,300,300,300,300,300,300,300,300,300,19,14,290,189.70113815617208,22.004666971042752,302.13158298283815,1865.3684210526317
1778840513,20,,Aggregated,0.000000,0.000000,200,300,300,300,350,380,380,380,380,380,380,40,27,200,206.41701873100828,22.004666971042752,377.32758303172886,4379.4
1778840514,30,,Aggregated,11.000000,10.000000,140,190,290,300,310,350,380,380,380,380,380,66,42,140,152.19033709868336,1.5909590292721987,377.32758303172886,4248.848484848485
1778840515,40,,Aggregated,15.000000,12.500000,120,140,180,200,300,310,380,380,380,380,380,93,60,120,124.79956540459347,1.2862910516560078,377.32758303172886,4147.8279569892475
1778840516,50,,Aggregated,20.000000,13.333333,30,120,140,180,300,310,360,380,380,380,380,132,99,28,90.23782257237613,1.2862910516560078,377.32758303172886,2937.1060606060605
1778840517,60,,Aggregated,21.000000,13.250000,17,45,130,140,200,300,350,380,380,380,380,173,140,17,70.44136944439563,1.2862910516560078,377.32758303172886,2252.878612716763
1778840518,70,,Aggregated,23.600000,17.000000,10,23,64,130,190,300,310,360,380,380,380,219,186,10,56.842193875002536,1.2862910516560078,377.32758303172886,1790.1735159817351
1778840519,80,,Aggregated,25.666667,20.166667,6,14,27,64,170,300,310,360,380,380,380,273,240,6,46.74947970365976,1.2862910516560078,377.32758303172886,1445.96336996337
1778840520,90,,Aggregated,28.571429,23.857143,5,12,19,30,140,290,310,350,380,380,380,327,294,5,39.90429421439653,1.2862910516560078,377.32758303172886,1215.4373088685015
1778840521,100,,Aggregated,30.625000,26.500000,5,10,14,22,140,200,300,350,380,380,380,386,353,5,34.57896416123783,1.2862910516560078,377.32758303172886,1037.300518134715
1778840522,100,,Aggregated,34.000000,30.333333,5,9,13,18,130,190,300,310,380,380,380,429,396,5,31.52298843374124,1.2862910516560078,377.32758303172886,938.3403263403263
1778840523,100,,Aggregated,36.000000,32.700000,5,6,12,15,120,180,300,310,380,380,380,476,443,5,28.704554882945352,1.1622910387814045,377.32758303172886,850.6260504201681
1778840524,100,,Aggregated,38.500000,35.300000,5,6,10,13,93,180,300,310,380,380,380,519,486,5,26.697943009739394,1.1622910387814045,377.32758303172886,784.2928709055876
1778840525,100,,Aggregated,41.100000,38.300000,5,6,10,12,64,170,300,310,380,380,380,556,523,5,25.23648487625932,1.1622910387814045,377.32758303172886,735.4280575539568
1778840526,100,,Aggregated,43.000000,41.700000,5,6,8,11,39,140,300,310,380,380,380,608,575,5,23.50465098252722,1.1622910387814045,377.32758303172886,676.8059210526316
1778840527,100,,Aggregated,44.700000,44.500000,5,6,7,10,30,140,300,310,380,380,380,650,617,5,22.230502253111737,1.1622910387814045,377.32758303172886,636.3046153846154
1778840528,100,,Aggregated,44.700000,44.700000,5,6,7,10,25,140,300,310,380,380,380,692,659,5,21.096855795819774,1.1622910387814045,377.32758303172886,600.7196531791908
1778840529,100,,Aggregated,46.500000,46.500000,5,5,6,9,23,140,300,300,380,380,380,733,700,5,20.147636205931214,1.1622910387814045,377.32758303172886,569.9154160982265
1778840530,100,,Aggregated,45.900000,45.900000,5,5,6,8,22,140,290,300,380,380,380,775,742,5,19.32300226732848,1.1622910387814045,377.32758303172886,541.7393548387097
1778840531,100,,Aggregated,46.000000,46.000000,5,6,6,7,19,130,290,300,380,380,380,815,782,5,18.636204609133166,1.1622910387814045,377.32758303172886,517.6049079754602
1778840532,100,,Aggregated,44.000000,44.000000,5,6,6,7,18,130,200,300,380,380,380,865,832,5,17.83198820779671,1.1622910387814045,377.32758303172886,490.5757225433526
1778840533,100,,Aggregated,42.400000,42.400000,5,5,6,7,17,120,200,300,380,380,380,907,874,5,17.164076365660897,1.1622910387814045,377.32758303172886,470.1742006615215
1778840534,100,,Aggregated,43.600000,43.600000,5,5,6,7,16,120,200,300,380,380,380,948,915,5,16.58226562163376,1.1622910387814045,377.32758303172886,452.0021097046413
1778840535,100,,Aggregated,43.500000,43.500000,4,5,6,7,14,100,200,300,380,380,380,995,962,4,15.97766383508941,1.1622910387814045,377.32758303172886,433.0130653266332
1778840536,100,,Aggregated,42.500000,42.500000,4,5,6,7,13,93,200,300,380,380,380,1038,1005,4,15.484535943170354,1.1622910387814045,377.32758303172886,417.1464354527938
1778840537,100,,Aggregated,43.300000,43.300000,4,5,6,6,12,64,190,300,380,380,380,1082,1049,4,15.056780092405283,1.1622910387814045,377.32758303172886,402.21626617375233
1778840538,100,,Aggregated,44.500000,44.500000,4,5,6,6,12,56,190,300,380,380,380,1123,1090,4,14.659208718285907,1.1622910387814045,377.32758303172886,389.3570792520036
1778840539,100,,Aggregated,43.000000,43.000000,4,5,6,6,12,45,180,300,380,380,380,1169,1136,4,14.204108761045907,1.0492909932509065,377.32758303172886,376.00342172797264
1778840540,100,,Aggregated,43.400000,43.400000,4,5,6,6,11,39,180,300,380,380,380,1210,1177,4,13.899540751575962,1.0492909932509065,377.32758303172886,364.9570247933884
1778840541,100,,Aggregated,42.900000,42.900000,4,5,6,6,11,36,180,300,380,380,380,1255,1222,4,13.539807252081268,1.0492909932509065,377.32758303172886,353.6637450199203
1778840542,100,,Aggregated,43.000000,43.000000,4,5,6,6,10,30,180,300,380,380,380,1292,1259,4,13.272624561147211,1.0492909932509065,377.32758303172886,344.96749226006193
1778840543,100,,Aggregated,43.200000,43.200000,4,5,6,6,10,28,180,300,380,380,380,1342,1309,4,12.953292112450509,1.0492909932509065,377.32758303172886,333.97764530551416
1778840544,100,,Aggregated,43.300000,43.300000,4,5,6,6,10,25,170,300,380,380,380,1384,1351,4,12.67500000952331,1.0492909932509065,377.32758303172886,325.3598265895954
1778840545,100,,Aggregated,42.000000,42.000000,4,5,6,6,9,25,150,300,380,380,380,1429,1396,4,12.39111941233486,1.0492909932509065,377.32758303172886,316.6885934219734
1778840546,100,,Aggregated,43.400000,43.400000,4,5,6,6,9,23,150,300,380,380,380,1471,1438,4,12.181583368729099,1.0492909932509065,377.32758303172886,309.0740992522094
1778840547,100,,Aggregated,42.800000,42.800000,4,5,6,6,9,22,140,290,380,380,380,1516,1483,4,11.96825626923022,1.0492909932509065,377.32758303172886,301.3839050131926
1778840548,100,,Aggregated,42.400000,42.400000,4,5,6,6,9,22,140,290,380,380,380,1556,1523,4,11.7897512072489,1.0492909932509065,377.32758303172886,294.9215938303342
1778840549,100,,Aggregated,42.900000,42.900000,4,5,6,6,8,21,140,290,380,380,380,1598,1565,4,11.590414845183007,1.0492909932509065,377.32758303172886,288.4843554443054
1778840550,100,,Aggregated,43.300000,43.300000,4,5,6,6,8,19,140,290,380,380,380,1646,1613,4,11.370242459310235,1.0492909932509065,377.32758303172886,281.52976913730254
1778840551,100,,Aggregated,42.800000,42.800000,4,5,6,6,8,18,140,290,380,380,380,1685,1652,4,11.182134745722687,1.0492909932509065,377.32758303172886,276.1709198813056
1778840552,100,,Aggregated,43.300000,43.300000,4,5,6,6,8,18,140,200,380,380,380,1727,1694,4,11.008118900115056,1.0492909932509065,377.32758303172886,270.670526925304
1778840553,100,,Aggregated,44.000000,44.000000,4,5,6,6,8,17,140,200,380,380,380,1782,1749,4,10.811431445330319,1.0492909932509065,377.32758303172886,263.8597081930415
1778840554,100,,Aggregated,42.500000,42.500000,4,5,6,6,8,17,140,200,380,380,380,1814,1781,4,10.699880030493908,1.0492909932509065,377.32758303172886,260.08710033076073
1778840555,100,,Aggregated,43.900000,43.900000,4,5,6,6,8,16,140,200,380,380,380,1868,1835,4,10.498419076097607,1.0492909932509065,377.32758303172886,254.01391862955032
